address,accountno,pin,sale_date_end,Sales Price,impvac,style,year_built,Imp Size SqFt,Lot Size Acres,streetno,streetalp,streetdir,streetsuf,streetname,addition_n,address_zip
,R1412180002,1412180002,6/17/2016,20000,Improved,Bar/Tavern,1910,1084,0.1382,2216,,S,ST,16,IMPROVEMENT ASSN ADD,681080000
2214 S 16 ST,R1412060002,1412060002,7/25/2014,19500,Improved,Retail Store,1915,372,0.1,2214,,S,ST,16,IMPROVEMENT ASSN ADD,681080000
1263 S 16 ST,R1518710000,1518710000,10/1/2010,18000,Improved,Mixed Retail w/ Res Units,1887,3104,0.04,1263,,S,ST,16,KOUNTZE 3RD ADD,681080000
842 S 23 ST,R1725630000,1725630000,10/4/2013,12000,Vacant,,,,0.03,842,,S,ST,23,MC CANDLISH PLACE,681080000
1901 S 13 ST,R1522200000,1522200000,7/20/2010,5500,Vacant,,,,0.06,1901,,S,ST,13,KOUNTZE 4TH ADD SUPP,681080000
,R1518900000,1518900000,1/28/2016,3000,Vacant,,,,0.09,1401,,S,ST,16,KOUNTZE 3RD ADD,681080000
1301 E HARTMAN AV,R2118615006,2118615006,6/20/2017,1075000,Improved,Parking Lot,1996,1,7.15,1301,,E,AV,HARTMAN,RIVERFRONT INDUSTRIAL PARK,681100000
1655 E LOCUST ST,R1005110002,1005110002,5/7/2021,770000,Improved,Parking Levels,1988,1,6.49,1655,,E,ST,LOCUST,E OMAHA LAND COS LAND & SUB DIV,681100000
1655 E LOCUST ST,R1005110002,1005110002,5/7/2021,770000,Improved,Parking Levels,1988,1,6.49,1655,,E,ST,LOCUST,E OMAHA LAND COS LAND & SUB DIV,681100000
2323 ABBOTT DR,R1201770000,1201770000,12/22/2010,438000,Vacant,,,,2.89,2323,,,DR,ABBOTT,GOFF TERRACE,681100000
2505 N 24 ST,R2007890002,2007890002,12/27/2021,315000,Vacant,,,,2.8845,2505,,N,ST,24,PAULSENS ADD,681100000
1215  FORT ST,R1842130000,1842130000,3/22/2022,278000,Vacant,,,,4.13,1215,,,ST,FORT,NORTH OMAHA,681100000
2465 N 16 ST,R2544550000,2544550000,12/11/2020,202000,Improved,Storage Warehouse,1941,6000,0.3,2465,,N,ST,16,WOODS PLACE,681100000
,R1312460002,1312460002,11/21/2016,190000,Improved,Convenience Store,1968,1160,0.98,5215,,N,ST,16,HILLEKE ADD,681100000
3823  FLORENCE BD,R1512480001,1512480001,10/29/2020,185000,Improved,Day Care Center,1940,3048,0.27,3823,,,BLVD,FLORENCE,KIRKWOOD ADD,681100000
3823  FLORENCE BD,R1512480001,1512480001,6/2/2021,185000,Improved,Day Care Center,1940,3048,0.27,3823,,,BLVD,FLORENCE,KIRKWOOD ADD,681100000
2201 N 24 ST,R1137160000,1137160000,12/30/2021,150000,Improved,Snack Bar,1953,2030,0.13,2201,,N,ST,24,FOSTERS ADD,681100000
2229 LAKE ST,R2008080002,2008080002,3/29/2010,150000,Improved,Bar/Tavern,1932,2862,0.06,2229,,,ST,LAKE,PAULSENS ADD,681100000
3701 N 24 ST,R2015100000,2015100000,5/10/2018,145000,Improved,Mixed Retail w/ Res Units,1915,4048,0.14,3701,,N,ST,24,PLAINVIEW,681100000
5719 N 16 ST,R1131740000,1131740000,4/9/2021,135000,Improved,Parking Levels,1950,1,0.58,5719,,N,ST,16,FORBES SUB DIV-SE 1/4 SEC,681100000
3823 FLORENCE BD,R1512480001,1512480001,7/26/2010,132354,Improved,Day Care Center,1940,3048,0.27,3823,,,BLVD,FLORENCE,KIRKWOOD ADD,681100000
2704 FLORENCE BD,R1404950002,1404950002,3/28/2014,127000,Improved,Retail Store,1955,3720,0.18,2704,,,BLVD,FLORENCE,HOWES ADD,681100000
2541 N 20 ST,R1601000000,1601000000,5/1/2018,90000,Improved,Retail Store,1955,1308,0.16,2541,,N,ST,20,LAKE ADD,681100000
4141  COMMERCIAL AV,R0202680002,202680002,5/14/2021,86500,Vacant,,,,0.68,4141,,,AV,COMMERCIAL,LANDS,681100000
2624 N 17 ST-E,R1200870006,1200870006,10/9/2015,70000,Vacant,,,,0.81,2624,,N,ST-E,17,GOFF TERRACE,681100000
3012 N 24 ST,R2328860000,2328860000,12/30/2021,65000,Improved,Retail Store,1905,1769,0.0602,3012,,N,ST,24,TROUPS SUB DIV,681100000
4425 N 16 ST,R1839780003,1839780003,12/11/2018,63000,Improved,Office Building,1994,700,0.287,4425,,N,ST,16,NIELS ADD,681100000
2819 N 16 ST,R1745260132,1745260132,7/29/2010,59000,Improved,Storage Warehouse,1900,9319,0.49,2819,,N,ST,16,MILLARD AND CALDWELLS ADD REP 3,681100000
3819 N 24 ST,R2013960000,2013960000,4/18/2013,52746,Improved,Mixed Retail w/ Res Units,1925,5888,0.28,3819,,N,ST,24,PLAINVIEW,681100000
2311 N 24 ST,R1408980000,1408980000,5/4/2012,40000,Improved,Bar/Tavern,1956,1476,0.14,2311,,N,ST,24,IDLEWILD ADD,681100000
5124 N 24 ST,R1144610000,1144610000,2/22/2012,33000,Improved,Retail Store,1927,1668,0.2,5124,,N,ST,24,GLENCOE PLACE,681100000
3506 N 16 ST,R1529680000,1529680000,9/29/2020,32100,Improved,Retail Store,1909,4628,0.12,3506,,N,ST,16,KOUNTZE PLACE,681100000
3819 N 24 ST,R2013960000,2013960000,12/3/2015,30000,Improved,Mixed Retail w/ Res Units,1925,5888,0.28,3819,,N,ST,24,PLAINVIEW,681100000
2908 N 16 ST,R1524630000,1524630000,2/28/2017,27500,Improved,Retail Store,1903,6552,0.16,2908,,N,ST,16,KOUNTZE PLACE,681100000
1829 N 24 ST,R2226910000,2226910000,8/12/2021,3800,Vacant,,,,0.06,1829,,N,ST,24,SMITHS -E V- ADD,681100000
2821 N 16 ST,R1745260130,1745260130,5/10/2010,3500,Improved,Retail Store,1919,3000,0.11,2821,,N,ST,16,MILLARD AND CALDWELLS ADD REP 3,681100000
3102 N 16 ST,R1526310000,1526310000,2/2/2010,2000,Vacant,,,,0.14,3102,,N,ST,16,KOUNTZE PLACE,681100000
2930 N 24 ST,R1144200000,1144200000,11/15/2013,500,Vacant,,,,0.1,2930,,N,ST,24,GISES ADD,681100000
3005 LAKE ST,R2145825156,2145825156,12/18/2015,2050000,Improved,Drug Store,1999,13820,1.84,3005,,,ST,LAKE,SALEM PLACE,681110000
5217 N 30 ST,R2544120002,2544120002,2/16/2011,728750,Improved,Retail Store,1930,1458,0.21,5217,,N,ST,30,WOODLAND PLACE,681110000
5217 N 30 ST,R2544120002,2544120002,2/16/2011,728750,Improved,Retail Store,1930,1458,0.21,5217,,N,ST,30,WOODLAND PLACE,681110000
5217 N 30 ST,R2544120002,2544120002,2/16/2011,728750,Improved,Retail Store,1930,1458,0.21,5217,,N,ST,30,WOODLAND PLACE,681110000
2930  SPRAGUE ST,R0710020210,710020210,12/27/2021,726061,Improved,Retail Store,2002,9888,0.83,2930,,,ST,SPRAGUE,BOYDS ADDITION REPLAT 2*,681110000
,R0710020210,710020210,8/2/2016,690000,Improved,Retail Store,2002,9888,0.83,2930,,,ST,SPRAGUE,BOYDS ADDITION REPLAT 2*,681110000
4601 N 30 ST,R0919870000,919870000,5/10/2018,250000,Improved,Laundromat,1927,5344,0.2,4601,,N,ST,30,DELLONES -FRED- ADD,681110000
4423 N 30 ST,R0708900002,708900002,5/20/2011,235000,Vacant,,,,0.28,4423,,N,ST,30,BOYDS ADD,681110000
4601 N 30 ST,R0919870000,919870000,5/1/2013,220000,Improved,Laundromat,1927,5344,0.2,4601,,N,ST,30,DELLONES -FRED- ADD,681110000
2411 N 30 ST,R0525950004,525950004,2/9/2017,211288,Improved,Convenience Store,1985,2400,0.52,2411,,N,ST,30,ARLINGTON,681110000
2219 MILITARY AV,R0819330000,819330000,3/27/2014,170000,Improved,Service Garage,1910,3478,0.18,2219,,,AV,MILITARY,CLIFTON HILL,681110000
4102 N 30 ST,R0709470000,709470000,6/8/2018,170000,Improved,Automotive Center,1950,2931,0.33,4102,,N,ST,30,BOYDS ADD,681110000
3825  AMES AV,R2413890000,2413890000,8/13/2021,130000,Improved,Mixed Retail w/ Res Units,1900,2536,0.11,3825,,,AV,AMES,WAVERLY REPLAT,681110000
3825  AMES AV,R2413890000,2413890000,8/13/2021,130000,Improved,Mixed Retail w/ Res Units,1900,2536,0.11,3825,,,AV,AMES,WAVERLY REPLAT,681110000
3501 N 30 ST,R0544160000,544160000,3/2/2022,119900,Improved,Mixed Retail w/ Res Units,1910,2662,0.13,3501,,N,ST,30,BEDFORD PLACE,681110000
3009 PARKER ST,R2111510002,2111510002,10/13/2010,100000,Improved,Convenience Store,1986,1605,0.26,3009,,,ST,PARKER,REEDS 3RD ADD,681110000
2106  MILITARY AV,R0819890000,819890000,3/31/2020,90000,Improved,Mixed Retail w/ Res Units,1940,7880,0.09,2106,,,AV,MILITARY,CLIFTON HILL,681110000
1913  MILITARY AV,R0819790000,819790000,7/10/2020,85000,Improved,Office Building,1931,1274,0.09,1913,,,AV,MILITARY,CLIFTON HILL,681110000
4001 AMES AV,R1636280000,1636280000,4/15/2010,85000,Improved,Retail Store,1915,1166,0.11,4001,,,AV,AMES,LOOMIS SUB DIV,681110000
,R1636610000,1636610000,7/11/2016,85000,Improved,Retail Store,1920,2164,0.11,3921,,,AV,AMES,LOOMIS 2ND SUB DIV,681110000
3224 N 30 ST,R0209450000,209450000,6/7/2018,75000,Improved,Service Garage,1952,1764,0.3,3224,,N,ST,30,LANDS,681110000
3224 N 30 ST,R0209450000,209450000,6/7/2018,75000,Improved,Service Garage,1952,1764,0.3,3224,,N,ST,30,LANDS,681110000
3702 N 30 ST,R1232450002,1232450002,1/11/2014,75000,Improved,Office Building,1990,2908,0.29,3702,,N,ST,30,HAMMONDS -LP- ADD,681110000
3702 N 30 ST,R1232450002,1232450002,1/11/2014,75000,Improved,Office Building,1990,2908,0.29,3702,,N,ST,30,HAMMONDS -LP- ADD,681110000
3927 AMES AV,R1636620000,1636620000,12/17/2012,75000,Improved,Mixed Retail w/ Res Units,1905,3475,0.07,3927,,,AV,AMES,LOOMIS 2ND SUB DIV,681110000
3802  AMES AV,R1147520000,1147520000,7/23/2019,67000,Improved,Service Garage,1955,3120,0.35,3802,,,AV,AMES,GLENWOOD HEIGHTS,681110000
1824 N 33 ST,R1639900000,1639900000,6/5/2020,58000,Improved,Barber/Beauty Shop,1913,1298,0.03,1824,,N,ST,33,LOWES ADD,681110000
3621 N 30 ST,R0544050000,544050000,6/21/2021,55000,Improved,Car Wash - Self Service,1965,2325,0.2741,3621,,N,ST,30,BEDFORD PLACE,681110000
,R1147520000,1147520000,8/30/2016,55000,Improved,Service Garage,1955,3120,0.35,3802,,,AV,AMES,GLENWOOD HEIGHTS,681110000
2909 AMES AV,R0708810002,708810002,5/19/2011,53500,Vacant,,,,0.1,2909,,,AV,AMES,BOYDS ADD,681110000
1823 N 33 ST,R1643470000,1643470000,6/5/2020,52000,Improved,Retail Store,1950,1505,0.11,1823,,N,ST,33,LOWES SUB DIV,681110000
1817 N 33 ST,R1643520002,1643520002,5/9/2014,48000,Improved,Bar/Tavern,1960,3800,0.45,1817,,N,ST,33,LOWES SUB DIV,681110000
1819  MILITARY AV,R0906160000,906160000,3/25/2019,47000,Improved,Retail Store,1970,578,0.04,1819,,,AV,MILITARY,CREIGHTONS 2ND ADD,681110000
3160  AMES AV,R0824450000,824450000,10/11/2017,44000,Improved,Mixed Retail w/ Res Units,1925,2112,0.14,3160,,,AV,AMES,COLLIER PLACE,681110000
2907 AMES AV,R0708800002,708800002,5/20/2011,40000,Vacant,,,,0.1,2907,,,AV,AMES,BOYDS ADD,681110000
3825 AMES AV,R2413890000,2413890000,10/2/2013,40000,Improved,Mixed Retail w/ Res Units,1900,2536,0.11,3825,,,AV,AMES,WAVERLY REPLAT,681110000
3825 AMES AV,R2413890000,2413890000,10/2/2013,40000,Improved,Mixed Retail w/ Res Units,1900,2536,0.11,3825,,,AV,AMES,WAVERLY REPLAT,681110000
4104  LAKE ST,R1320090002,1320090002,1/20/2022,40000,Vacant,,,,0.61,4104,,,ST,LAKE,HITCHCOCKS 1ST ADD,681110000
4410 N 29 ST,R0708840000,708840000,5/20/2011,32000,Vacant,,,,0.07,4410,,N,ST,29,BOYDS ADD,681110000
4200 REDMAN AV,R0240710000,240710000,12/31/2015,23000,Improved,Service Garage,1955,1328,0.19,4200,,,AV,REDMAN,LANDS,681110000
4110 N 30 ST,R0709450000,709450000,5/9/2012,15000,Improved,Service Garage,1944,2160,0.07,4110,,N,ST,30,BOYDS ADD,681110000
3207 N 30 ST,R1141880000,1141880000,1/18/2019,12200,Vacant,,,,0.38,3207,,N,ST,30,GISES ADD,681110000
2203 MILITARY AV,R0819400000,819400000,5/18/2015,11000,Vacant,,,,0.13,2203,,,AV,MILITARY,CLIFTON HILL,681110000
5361 N 30 ST,R1018440002,1018440002,10/30/2012,10000,Vacant,,,,0.24,5361,,N,ST,30,ELLISTONE PARK PLACE SUPP,681110000
2205 MILITARY AV,R0819390000,819390000,4/8/2015,7000,Improved,Storage Warehouse,1905,1496,0.06,2205,,,AV,MILITARY,CLIFTON HILL,681110000
3223 PARKER ST,R1643460000,1643460000,11/2/2011,7000,Vacant,,,,0.58,3223,,,ST,PARKER,LOWES SUB DIV,681110000
3605 BEDFORD AV,R2517180002,2517180002,8/31/2015,7000,Improved,Storage Garage,1920,675,0.19,3605,,,AV,BEDFORD,WESTMORELAND,681110000
3302 PARKER ST,R1639890000,1639890000,4/11/2011,2415,Vacant,,,,0.07,3302,,,ST,PARKER,LOWES ADD,681110000
3605 BEDFORD AV,R2517180002,2517180002,12/15/2014,1500,Improved,Storage Garage,1920,675,0.19,3605,,,AV,BEDFORD,WESTMORELAND,681110000
7410 N 30 ST,R2214155154,2214155154,6/17/2015,4000000,Improved,Neighborhood Shopping Center,1987,37120,2.74,7410,,N,ST,30,SHOPKO ACRES REPLAT 2*,681120000
7410 N 30 ST,R2214155154,2214155154,6/17/2015,4000000,Improved,Neighborhood Shopping Center,1987,37120,2.74,7410,,N,ST,30,SHOPKO ACRES REPLAT 2*,681120000
7410 N 30 ST,R2214155154,2214155154,6/17/2015,4000000,Improved,Neighborhood Shopping Center,1987,37120,2.74,7410,,N,ST,30,SHOPKO ACRES REPLAT 2*,681120000
7410 N 30 ST,R2214155154,2214155154,6/17/2015,4000000,Improved,Neighborhood Shopping Center,1987,37120,2.74,7410,,N,ST,30,SHOPKO ACRES REPLAT 2*,681120000
2027  READ ST,R1842290002,1842290002,4/29/2022,2200000,Improved,Mobile Home Parks  *CODE,1970,5917,5.3,2027,,,ST,READ,NORTH OMAHA ACRES,681120000
7601 N 30 ST,R1105000006,1105000006,12/31/2012,1071705,Improved,Fast Food Restaurant,1997,3464,0.8,7601,,N,ST,30,FLORENCE,681120000
7601 N 30 ST,R1105000006,1105000006,12/31/2012,1071705,Improved,Fast Food Restaurant,1997,3464,0.8,7601,,N,ST,30,FLORENCE,681120000
7601 N 30 ST,R1105000006,1105000006,10/3/2011,956771,Improved,Fast Food Restaurant,1997,3464,0.8,7601,,N,ST,30,FLORENCE,681120000
7601 N 30 ST,R1105000006,1105000006,10/3/2011,956771,Improved,Fast Food Restaurant,1997,3464,0.8,7601,,N,ST,30,FLORENCE,681120000
,R2214155152,2214155152,8/26/2016,920456,Improved,Fast Food Restaurant,2009,1960,0.4711,7406,,N,ST,30,SHOPKO ACRES REPLAT 2*,681120000
6618 N 30 ST,R2344470250,2344470250,9/9/2010,370000,Improved,Retail Store,1998,8084,0.75,6618,,N,ST,30,UPLAND TERRACE ADD REP 2*,681120000
9516  CALHOUN RD,R1125527100,1125527100,12/27/2021,320000,Improved,Retail Store,1988,4440,0.67,9516,,,RD,CALHOUN,FLORENCE ADDITION REPLAT III*,681120000
8718 N 30 ST,R1101000000,1101000000,3/3/2015,300000,Improved,Convenience Store,1995,1320,0.46,8718,,N,ST,30,FLORENCE,681120000
6714 N 30 ST,R1408196000,1408196000,6/5/2020,254000,Improved,Office Building,1918,9203,0.22,6714,,N,ST,30,HUSKERS ADDITION REP 1*,681120000
6714 N 30 ST,R1408196000,1408196000,6/5/2020,254000,Improved,Office Building,1918,9203,0.22,6714,,N,ST,30,HUSKERS ADDITION REP 1*,681120000
9516 CALHOUN RD,R1125527100,1125527100,5/29/2013,225000,Improved,Convenience Store,1988,4440,0.67,9516,,,RD,CALHOUN,FLORENCE ADDITION REPLAT III*,681120000
8305 N 30 ST,R1102470000,1102470000,12/29/2021,200000,Improved,Veterinary Office,1968,1984,0.21,8305,,N,ST,30,FLORENCE,681120000
7505 N 30 ST,R1114470000,1114470000,2/11/2019,180000,Improved,Car Wash - Self Service,1988,2776,0.41,7505,,N,ST,30,FLORENCE,681120000
,R1101800000,1101800000,9/6/2016,175000,Improved,Bar/Tavern,1916,2638,0.1,8516,,N,ST,30,FLORENCE,681120000
8507 N 30 ST,R1101720000,1101720000,12/11/2018,160000,Improved,Retail Store,1900,2415,0.06,8507,,N,ST,30,FLORENCE,681120000
8516 N 30 ST,R1101800000,1101800000,5/19/2021,140000,Improved,Bar/Tavern,1916,2638,0.1,8516,,N,ST,30,FLORENCE,681120000
,R1101720000,1101720000,10/4/2016,137000,Improved,Retail Store,1900,2415,0.06,8507,,N,ST,30,FLORENCE,681120000
8603 N 30 ST,R1101240000,1101240000,5/1/2017,135000,Improved,Mixed Retail w/ Res Units,1917,1664,0.09,8603,,N,ST,30,FLORENCE,681120000
,R1102000000,1102000000,4/29/2016,135000,Improved,Office Building,1962,4180,0.31,2910,,,ST,STATE,FLORENCE,681120000
8517 N 28 AV,R1101470000,1101470000,5/9/2022,120000,Improved,Storage Warehouse,1976,2584,0.21,8517,,N,AV,28,FLORENCE,681120000
8603 N 30 ST,R1101240000,1101240000,7/13/2021,104800,Improved,Mixed Retail w/ Res Units,1917,1664,0.09,8603,,N,ST,30,FLORENCE,681120000
6445 JOHN J PERSHING DR,R2403410100,2403410100,5/3/2010,100000,Vacant,,,,2.66,6445,,,DR,JOHN J PERSHING,WAGGIN TONGUE,681120000
8710 N 30 ST,R1101020000,1101020000,7/31/2014,100000,Improved,Dental Office/ Clinic,1900,1053,0.21,8710,,N,ST,30,FLORENCE,681120000
6508 N 16 ST,R2403410102,2403410102,5/10/2010,95000,Improved,Kennel,1965,1800,0.7,6508,,N,ST,16,WAGGIN TONGUE,681120000
6508 N 16 ST,R2403410102,2403410102,5/10/2010,95000,Improved,Kennel,1965,1800,0.7,6508,,N,ST,16,WAGGIN TONGUE,681120000
8601 N 30 ST,R1101250000,1101250000,9/6/2018,95000,Improved,Retail Store,1908,2788,0.1,8601,,N,ST,30,FLORENCE,681120000
6524 N 30 ST,R2344470050,2344470050,8/3/2010,78570,Improved,Convenience Store,1975,1764,0.2,6524,,N,ST,30,UPLAND TERRACE REPLAT 1,681120000
8512 N 30 ST,R1101810002,1101810002,10/23/2012,50000,Improved,Retail Store,1920,1600,0.06,8512,,N,ST,30,FLORENCE,681120000
,R0525840302,525840302,4/21/2016,40000,Improved,,,,1.38,11405,,N,AV,34,A RI RANG HILL*,681120000
8401 N 30 ST,R1102020000,1102020000,11/25/2014,30000,Vacant,,,,0.2,8401,,N,ST,30,FLORENCE,681120000
8401 N 30 ST,R1102020000,1102020000,11/25/2014,30000,Vacant,,,,0.2,8401,,N,ST,30,FLORENCE,681120000
8514 N 30 ST,R1101810004,1101810004,11/12/2021,30000,Improved,Barber/Beauty Shop,1920,700,0.04,8514,,N,ST,30,FLORENCE,681120000
7102 N 30 AV,R1122780000,1122780000,5/23/2012,15000,Improved,Laundry/Dry Cleaning,1938,1848,0.07,7102,,N,AV,30,FLORENCE FIELD,681120000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
,R2008870002,2008870002,11/30/2016,16350000,Improved,Neighborhood Shopping Center,1998,103227,8.4,151,,N,ST,78,PEONY PARK ADD,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
715 S 72 ST,R0132730002,132730002,12/29/2020,13124999.99,Improved,Neighborhood Shopping Center,1990,101571,7.22,715,,S,ST,72,LANDS,681140000
9110  WEST DODGE RD,R2012140064,2012140064,5/14/2018,13000000,Improved,Office Building,1977,148404,7.77,9110,,,RD,WEST DODGE,PIERSONS SUB REP 2*,681140000
7825 DAVENPORT ST,R2327301014,2327301014,1/23/2014,11075000,Improved,Extended Stay Motels,2011,71777,1.7115,7825,,,ST,DAVENPORT,TOWER PLAZA REPLAT 10,681140000
7777  CASS ST,R1039986004,1039986004,1/3/2017,10450000,Improved,Fitness Center,2006,37966,5.149,7777,,,ST,CASS,FITNESS PLAZA,681140000
7825  DAVENPORT ST,R2327301014,2327301014,5/3/2022,9649999.99,Improved,Extended Stay Motels,2011,71777,1.7115,7825,,,ST,DAVENPORT,TOWER PLAZA REPLAT 10,681140000
9140  WEST DODGE RD,R2012140061,2012140061,12/13/2018,8900000,Improved,Office Building,1982,84789,3.59,9140,,,RD,WEST DODGE,PIERSONS SUB REP 2*,681140000
716 N 102 ST,R1222850060,1222850060,7/9/2019,8700000,Vacant,,,,6.4989,716,,N,ST,102,H&H WESTROADS,681140000
8420 WEST DODGE RD,R2327230003,2327230003,7/15/2014,8000000,Improved,Office Building,1975,71500,2.3158,8420,,,RD,WEST DODGE,TOWER PLAZA BLKS 5 & 6,681140000
600 N 96 ST,R0129560000,129560000,5/29/2015,7000000,Vacant,,,,11.71,600,,N,ST,96,LANDS,681140000
8712  WEST DODGE RD,R1644600055,1644600055,12/3/2021,6500000,Improved,Office Building,1968,62207,3.03,8712,,,RD,WEST DODGE,LUND ADD THE REP 1*,681140000
7825  DAVENPORT ST,R2327301014,2327301014,6/1/2020,6299999.99,Improved,Extended Stay Motels,2011,71777,1.7115,7825,,,ST,DAVENPORT,TOWER PLAZA REPLAT 10,681140000
7831 DODGE ST,R0641731100,641731100,4/17/2014,6115000,Improved,Market,2000,22448,1.91,7831,,,ST,DODGE,BEVERLY HILLS REPLAT FIVE*,681140000
10707 PACIFIC ST,R0545970002,545970002,6/27/2013,5569779,Improved,Office Building,1983,45808,3.26,10707,,,ST,PACIFIC,BEL-AIR 2ND ADD,681140000
,R0129530012,129530012,12/28/2016,5510000,Improved,Fitness Center,1975,97926,8.02,1212,,N,ST,102,LANDS,681140000
7831 DODGE ST,R0641731100,641731100,3/11/2013,5150000,Improved,Retail Store,2000,22448,1.91,7831,,,ST,DODGE,BEVERLY HILLS REPLAT FIVE*,681140000
205 N 80 ST,R2008234950,2008234950,8/31/2022,4900000,Improved,Neighborhood Shopping Center,2010,14697,1.525,205,,N,ST,80,PEBBLEWOOD,681140000
7425 DODGE ST,R1643050102,1643050102,7/31/2015,4700000,Improved,Neighborhood Shopping Center,2005,39878,3.46,7425,,,ST,DODGE,LOWES OF OMAHA,681140000
7425 DODGE ST,R1643050102,1643050102,7/31/2015,4700000,Improved,Neighborhood Shopping Center,2005,39878,3.46,7425,,,ST,DODGE,LOWES OF OMAHA,681140000
8736 WEST DODGE RD,R2012140252,2012140252,2/3/2011,4650000,Improved,Hotels - Limited Service,1996,52186,1.3546,8736,,,RD,WEST DODGE,PIERSONS SUBDIVISION REP 4*,681140000
825 N 90 ST,R2011860002,2011860002,2/22/2017,4475000,Improved,Medical Offices,1993,13493,2.05,825,,N,ST,90,PIERSONS SUB DIV,681140000
825 N 90 ST,R2011860002,2011860002,2/22/2017,4475000,Improved,Medical Offices,1993,13493,2.05,825,,N,ST,90,PIERSONS SUB DIV,681140000
810 N 96 ST,R2403455003,2403455003,3/14/2018,4322808,Improved,Office Building,1990,60487,3.79,810,,N,ST,96,WAITE ADD,681140000
1919 N 90 ST,R2502390360,2502390360,11/12/2013,3918148,Improved,Drug Store,2011,13205,2.0756,1919,,N,ST,90,WEST DODGE REP 7,681140000
